"shooterName","total_xReboundsPlus","total_xRebounds","total_shots","teamCode"
"Tim Sttzle"," 6.39478254"," 10.5098619592",31,"OTT"
"Nicolas Deslauriers"," 6.36096996","  9.4916831702",25,"PHI"
"Phillip Di Giuseppe"," 6.35448580","  9.3578959202",28,"VAN"
"Matthew Kessel"," 6.34737886","  7.7049725381",30,"STL"
"Pierre-Olivier Joseph"," 6.26327135","  6.1875639763",30,"PIT"
"Scott Perunovich"," 6.25066380","  6.6637102235",28,"NYI"
"Ryan Shea"," 6.11063967","  7.6679545501",32,"PIT"
"Owen Pickering"," 6.04957181","  7.6322011165",27,"PIT"
"Kieffer Bellows"," 6.04007788","  7.7230435694",27,"NSH"
"Tyson Barrie"," 6.02221444","  7.0648633381",25,"CGY"
"Adam Klapka"," 6.01874122"," 10.1666329848",29,"CGY"
"Jacob Bryson"," 5.71475987","  8.1890545711",27,"BUF"
"Brennan Othmann"," 5.65449584","  8.8323582448",22,"NYR"
"Simon Nemec"," 5.62178702","  6.4059353816",25,"NJD"
"Ryan Reaves"," 5.60399022","  7.9893101305",25,"TOR"
"Vladislav Kolyachonok"," 5.55371180","  6.4779265011",32,"PIT"
"Walker Duehr"," 5.54373184","  9.0939470725",24,"SJS"
"Joshua Roy"," 5.52059750","  7.7717434089",24,"MTL"
"Mitchell Stephens"," 5.50997249","  9.0638778675",30,"SEA"
"Jani Nyman"," 5.43071871","  7.4835976940",27,"SEA"
"Derek Ryan"," 5.39433038","  8.5240231715",27,"EDM"
"Nick DeSimone"," 5.37890265","  7.6231371984",23,"UTA"
"Spencer Stastney"," 5.37346674","  6.3938287785",23,"NSH"
"Jordan Harris"," 5.34744172","  6.1109156590",21,"CBJ"
"Alexis Lafrenire"," 5.34023838","  6.5505939675",24,"NYR"
"Akil Thomas"," 5.20529856","  8.4831319377",23,"LAK"
"Tyson Kozak"," 5.05714522","  7.6227170229",22,"BUF"
"Ville Heinola"," 4.97135259","  4.8258166887",25,"WPG"
"Justin Kirkland"," 4.94714770","  6.3457461800",18,"CGY"
"Andre Lee"," 4.92591621","  6.4965479964",23,"LAK"
"Ivan Miroshnichenko"," 4.84204737","  8.1238069721",25,"WSH"
"Matt Martin"," 4.83232717","  6.4077531905",23,"NYI"
"Cale Fleury"," 4.76257303","  5.4084201446",20,"SEA"
"Aatu Raty"," 4.69585058","  4.9687743129",20,"VAN"
"Joey Anderson"," 4.60894443","  6.4042454045",20,"CHI"
"Ethan Del Mastro"," 4.60742692","  5.9148619045",22,"CHI"
"Jack St. Ivany"," 4.55430473","  6.0505449304",22,"PIT"
"Danil Gushchin"," 4.51652345","  6.9776316237",24,"SJS"
"Ross Johnston"," 4.47789404","  6.8662876608",21,"ANA"
"Raphael Lavoie"," 4.46975167","  4.6237314301",17,"VGK"
"Brendan Gaunce"," 4.41246196","  7.5697110351",21,"MIN"
"Dylan Coghlan"," 4.40723303","  7.1969693527",18,"WPG"
"John Hayden"," 4.40036253","  7.1983723193",18,"SEA"
"Nicholas Paul"," 4.31670994","  4.7555746324",15,"TBL"
"John Klingberg"," 4.27096177","  5.9069310879",23,"EDM"
"Michael Pezzetta"," 4.14064029","  5.7092554420",17,"MTL"
"Luca Del Bel Belluz"," 4.11787326","  6.2192273678",23,"CBJ"
"Andreas Englund"," 4.11070253","  4.6167577049",23,"NSH"
