"shooterName","total_xReboundsPlus","total_xRebounds","total_shots","teamCode"
"Brady Tkachuk","94.58059832","138.7668010367",401,"OTT"
"Matt Boldy","89.38520674","118.3788990327",379,"MIN"
"Nathan MacKinnon","86.09399299","117.7622909465",389,"COL"
"Filip Forsberg","85.03586831","122.3951357359",392,"NSH"
"David Pastrnak","83.74050134","109.5984491896",398,"BOS"
"Artemi Panarin","80.30388991","105.7347775392",354,"NYR"
"Cale Makar","79.65946907","108.8983543015",354,"COL"
"Auston Matthews","79.48554101","117.4583076609",332,"TOR"
"Nazem Kadri","76.93059034","105.1198948906",331,"CGY"
"Leon Draisaitl","74.47491524"," 97.2636168454",324,"EDM"
"William Nylander","74.10390658","106.4057247930",322,"TOR"
"Zach Werenski","73.52130385"," 99.2077466467",365,"CBJ"
"Kyle Connor","73.29809611","103.8258724562",311,"WPG"
"Kevin Fiala","72.46837022"," 94.6296303669",329,"LAK"
"Jordan Kyrou","72.42413728"," 94.6006629384",290,"STL"
"Carter Verhaeghe","72.08736744","103.7698063846",314,"FLA"
"Sam Bennett","71.63173018"," 99.5252705557",299,"FLA"
"Timo Meier","71.41000519","100.4291593211",335,"NJD"
"Jack Hughes","71.34229312","103.4164377791",320,"NJD"
"Brandon Montour","70.86838070"," 91.7279292883",324,"SEA"
"Nikita Kucherov","70.61178521"," 89.5376198526",326,"TBL"
"Brandon Hagel","70.31989643","101.5862880311",285,"TBL"
"Mikko Rantanen","69.92033723"," 94.0818697168",302,"DAL"
"Adrian Kempe","69.91766036"," 87.3199002805",309,"LAK"
"Anders Lee","68.67982644","109.8129512675",285,"NYI"
"Sam Reinhart","68.16353251"," 97.1235937403",295,"FLA"
"Dylan Larkin","68.10328389"," 98.9210115236",314,"DET"
"Sidney Crosby","68.02898887"," 95.7796825533",294,"PIT"
"Sebastian Aho","67.90379907"," 94.0033595022",298,"CAR"
"Cole Caufield","66.95541626"," 98.1021393703",303,"MTL"
"Tage Thompson","66.94950961"," 89.2156599138",304,"BUF"
"Frank Vatrano","66.94380537"," 92.5293104859",301,"ANA"
"Zach Hyman","66.49955946","100.4754829612",265,"EDM"
"Macklin Celebrini","66.18588459"," 83.8667606328",299,"SJS"
"Evan Bouchard","65.63126397"," 84.7318583779",279,"EDM"
"Pavel Dorofeyev","65.54120567"," 98.1477644228",299,"VGK"
"Alex Ovechkin","65.12244178"," 78.8637548713",294,"WSH"
"Bo Horvat","65.06059338"," 95.3105290197",304,"NYI"
"Tomas Hertl","63.93643507"," 93.5498861294",252,"VGK"
"Alex Tuch","63.87425430"," 94.6772765739",268,"BUF"
"Clayton Keller","63.55159255"," 86.8808558815",292,"UTA"
"Brock Nelson","62.85786328"," 90.1438877721",251,"COL"
"Jaden Schwartz","62.84210849"," 89.1470731472",255,"SEA"
"Alex DeBrincat","61.58282214"," 93.3541295110",302,"DET"
"Vincent Trocheck","61.32738336"," 91.2531247260",281,"NYR"
"Jared McCann","61.26539060"," 77.7096340419",267,"SEA"
"Jason Robertson","61.23769610"," 83.7228400251",258,"DAL"
"Connor McDavid","61.11864783"," 89.4423411111",266,"EDM"
"Rickard Rakell","60.88796354"," 89.7774233461",277,"PIT"
"John Tavares","60.59359278"," 93.8095163501",239,"TOR"
"Andrei Svechnikov","60.56944959"," 91.2345075667",254,"CAR"
"Brad Marchand","60.39447560"," 83.6837150724",249,"BOS"
"Jack Eichel","59.89988771"," 83.1346107383",283,"VGK"
"Jesper Bratt","59.65434578"," 84.5632470948",247,"NJD"
"Quinn Hughes","59.20130036"," 71.3878729898",262,"VAN"
"Nikolaj Ehlers","58.35087877"," 81.6429708824",259,"WPG"
"Owen Tippett","58.31601396"," 79.9181947761",262,"PHI"
"Mitch Marner","58.17557595"," 75.4000951562",229,"TOR"
"Jonathan Marchessault","57.85304760"," 81.0221756516",255,"NSH"
"Nico Hischier","57.62603814"," 83.0805002663",243,"NJD"
"Brent Burns","57.58334279"," 65.4540880757",255,"CAR"
"Connor McMichael","57.27074645"," 86.3138760739",232,"WSH"
"Troy Terry","57.21552221"," 81.9602244777",231,"ANA"
"Dylan Guenther","57.13507044"," 75.4103042224",291,"UTA"
"Wyatt Johnston","56.94454861"," 84.0803197594",261,"DAL"
"Seth Jarvis","56.85141354"," 87.5061518887",263,"CAR"
"Tyler Toffoli","56.67620600"," 81.5176151785",271,"SJS"
"Alex Laferriere","56.59446002"," 73.4601213276",256,"LAK"
"Victor Hedman","56.48261130"," 62.0616792318",260,"TBL"
"Jake Guentzel","56.45444908"," 91.3951841522",257,"TBL"
"Jakob Chychrun","55.98809676"," 65.0889978893",270,"WSH"
"Connor Bedard","55.56576650"," 78.5412623594",248,"CHI"
"Mika Zibanejad","55.23874533"," 75.8971150374",267,"NYR"
"Warren Foegele","55.20706861"," 79.3298204563",252,"LAK"
"Tom Wilson","55.08341931"," 82.4326783598",237,"WSH"
"Dylan Cozens","54.89913959"," 77.0977118814",222,"OTT"
"Blake Coleman","54.83721043"," 82.2244561847",246,"CGY"
"Travis Konecny","54.76263320"," 79.0365468683",256,"PHI"
"Erik Karlsson","54.28979803"," 66.8086779788",264,"PIT"
"Noah Dobson","54.14100202"," 76.1819342641",261,"NYI"
"Bryan Rust","54.03615910"," 89.9072501316",244,"PIT"
"Mark Scheifele","53.95511399"," 75.6111045974",237,"WPG"
"Kyle Palmieri","53.93719252"," 73.9913459187",238,"NYI"
"Brayden Point","53.87324943"," 85.8927538532",243,"TBL"
"Cutter Gauthier","53.80014548"," 70.9189463207",245,"ANA"
"Dougie Hamilton","53.35964033"," 53.2828909579",271,"NJD"
"Matthew Tkachuk","53.12234122"," 80.0436904180",237,"FLA"
"Ryan Donato","52.88537119"," 81.6944716186",225,"CHI"
"Martin Necas","52.85327775"," 80.8893747363",283,"COL"
"Kirill Marchenko","52.58656392"," 76.1510400767",264,"CBJ"
"Dylan Holloway","52.51692396"," 74.4104773662",233,"STL"
"Matty Beniers","52.24733979"," 73.5999462295",215,"SEA"
"Matvei Michkov","52.22711653"," 77.4800259385",236,"PHI"
"Josh Morrissey","52.16626768"," 66.5110036771",240,"WPG"
"Drake Batherson","52.06687703"," 78.2502784659",233,"OTT"
"Quinton Byfield","52.01196374"," 73.0112335008",232,"LAK"
"Rasmus Dahlin","51.87997399"," 68.3927485731",239,"BUF"
"Artturi Lehkonen","51.57755743"," 70.4690386147",199,"COL"
"Adam Fantilli","51.53199525"," 71.7709232705",239,"CBJ"
"Gustav Forsling","51.34713987"," 59.4903984280",237,"FLA"
"Elias Pettersson","51.26297899"," 71.3009622511",215,"VAN"
"Barrett Hayton","51.14625789"," 74.3767675927",210,"UTA"
"Matt Coronato","51.06089256"," 71.9688513679",222,"CGY"
"Alexis Lafreniere","50.80008950"," 66.3363462597",197,"NYR"
"Roman Josi","50.79841165"," 64.5732895074",234,"NSH"
"Ryan Nugent-Hopkins","50.63712762"," 76.9441114182",200,"EDM"
"Logan Stankoven","50.62329274"," 67.2228018504",234,"CAR"
"Mason McTavish","50.44230686"," 69.7529087610",223,"ANA"
"Conor Garland","50.32763920"," 70.9648234359",232,"VAN"
"Nick Suzuki","50.29863034"," 69.7506762591",213,"MTL"
"JJ Peterka","49.85237659"," 67.8931107430",230,"BUF"
"Anthony Cirelli","49.84194754"," 72.3938144389",207,"TBL"
"Fabian Zetterlund","49.48547759"," 70.8092044583",235,"OTT"
"Chris Kreider","49.28086144"," 74.3629240754",193,"NYR"
"Mikael Backlund","49.17974812"," 63.3728570598",220,"CGY"
"Thomas Chabot","48.80856421"," 57.0070404572",224,"OTT"
"Lucas Raymond","48.79030120"," 72.1145906512",247,"DET"
"John Carlson","48.72768763"," 57.7464373386",228,"WSH"
"Cole Perfetti","48.62238895"," 68.6179822466",197,"WPG"
"Pavel Buchnevich","48.61426854"," 70.2778302697",195,"STL"
"Jake DeBrusk","48.54933374"," 72.5982104993",202,"VAN"
"Jonathan Huberdeau","48.32805713"," 69.7804035794",177,"CGY"
"Ryan Hartman","48.32765531"," 61.7186793253",193,"MIN"
"Aleksander Barkov","48.26450756"," 67.9129048198",212,"FLA"
"Darnell Nurse","47.98451461"," 52.7107409677",231,"EDM"
"Roope Hintz","47.91624119"," 68.6800000563",194,"DAL"
"Mikael Granlund","47.83299683"," 65.7700313085",222,"DAL"
"Stefan Noesen","47.71190738"," 76.9802841907",223,"NJD"
"Jake Walman","47.63682281"," 50.1654718011",208,"EDM"
"Nick Schmaltz","47.59829775"," 65.3902319650",229,"UTA"
"Pierre-Luc Dubois","47.59616639"," 74.8620973583",197,"WSH"
"Evan Rodrigues","47.29002492"," 64.9304313450",222,"FLA"
"Tyler Bertuzzi","47.24494994"," 71.4700250853",187,"CHI"
"Michael Bunting","47.22813676"," 66.2072843582",194,"NSH"
"Ryan O'Reilly","47.00526574"," 74.4384407963",192,"NSH"
"Aliaksei Protas","46.80847962"," 69.1485502726",204,"WSH"
"MacKenzie Weegar","46.39481813"," 58.0787428223",231,"CGY"
"William Eklund","46.16933710"," 61.8690510639",201,"SJS"
"Steven Stamkos","46.16603473"," 58.9122832561",223,"NSH"
"Jason Zucker","45.83351745"," 64.6468236966",189,"BUF"
"Tyson Foerster","45.76696256"," 66.2842008771",186,"PHI"
"Rasmus Andersson","45.56855946"," 58.9912595637",224,"CGY"
"Will Cuylle","45.43684414"," 70.2600309838",194,"NYR"
"Morgan Geekie","45.13892167"," 64.7040166706",202,"BOS"
"Jordan Martinook","45.13451341"," 59.1338471109",182,"CAR"
"Patrick Kane","44.99469716"," 62.3497748272",210,"DET"
"Oliver Bjorkstrand","44.91274761"," 56.7156508900",199,"TBL"
"Trevor Moore","44.85785718"," 65.8131310859",209,"LAK"
"Robert Thomas","44.81276484"," 59.2686836054",199,"STL"
"Alex Pietrangelo","44.81066886"," 51.5682072567",198,"VGK"
"Drew O'Connor","44.75476846"," 65.2853034756",175,"VAN"
"Filip Chytil","44.68951441"," 68.0041989186",196,"VAN"
"Jake Sanderson","44.57865923"," 56.7820036333",220,"OTT"
"Neal Pionk","44.52551036"," 51.0298548642",200,"WPG"
"Brendan Gallagher","44.52485866"," 62.3348495939",191,"MTL"
"Dylan Strome","44.38338906"," 61.4228192021",182,"WSH"
"Kris Letang","44.36501192"," 54.2843464433",215,"PIT"
"Marco Rossi","44.17329499"," 69.6769289466",181,"MIN"
"Dmitri Voronkov","44.10149434"," 73.7719625739",192,"CBJ"
"Michael Kesselring","44.06805429"," 55.1910361114",198,"UTA"
"Brayden Schenn","44.01383673"," 65.0044467715",192,"STL"
"Elias Lindholm","43.87800671"," 61.5533899411",203,"BOS"
"Bobby McMann","43.85178158"," 60.0905135925",196,"TOR"
"Mike Matheson","43.65717850"," 48.6105712257",194,"MTL"
"Nino Niederreiter","43.51426708"," 65.9535139452",189,"WPG"
"Brock Boeser","43.42673711"," 58.3161550427",191,"VAN"
"Devon Toews","43.42177335"," 51.5330236839",196,"COL"
"Pavel Zacha","43.32510662"," 63.7263018481",176,"BOS"
"Anthony Beauvillier","43.18091789"," 64.2214543998",181,"WSH"
"Moritz Seider","42.77259453"," 51.5997139340",220,"DET"
"Thomas Harley","42.75165169"," 53.0750502767",216,"DAL"
"Kiefer Sherwood","42.59911446"," 50.9344457429",171,"VAN"
"Mattias Ekholm","42.49253720"," 50.5909174686",211,"EDM"
"Matt Duchene","42.39710802"," 62.4933202345",194,"DAL"
"Gabriel Vilardi","42.39640464"," 72.6012656946",188,"WPG"
"Owen Power","42.17433359"," 53.1348755674",186,"BUF"
"Taylor Hall","42.02244817"," 59.6761789816",181,"CAR"
"Eeli Tolvanen","41.97906686"," 58.0966193904",192,"SEA"
"Sean Walker","41.85643469"," 47.5743943268",191,"CAR"
"Joel Farabee","41.68883342"," 59.1952397149",170,"CGY"
"Kirill Kaprizov","41.67574872"," 60.6334938641",179,"MIN"
"Matthew Knies","41.52485517"," 62.6455624311",179,"TOR"
"Juraj Slafkovsky","41.46476829"," 61.4772633333",187,"MTL"
"Jackson Blake","41.36473915"," 62.3392794838",176,"CAR"
"Zach Benson","41.23233757"," 61.7895544640",155,"BUF"
"Jack Roslovic","41.08051439"," 57.9872141299",196,"CAR"
"Mats Zuccarello","41.06226372"," 58.1582360332",190,"MIN"
"Alex Newhook","41.00613790"," 56.9301841008",165,"MTL"
"Ross Colton","40.82054022"," 56.7021778185",178,"COL"
"Sean Couturier","40.74005639"," 61.7583635214",175,"PHI"
"Shane Pinto","40.57072344"," 57.8026850922",166,"OTT"
"Adam Fox","40.47523583"," 48.6307175093",168,"NYR"
"Jack Quinn","40.42304505"," 52.1117209776",171,"BUF"
"Logan Cooley","40.39949070"," 53.5600495291",188,"UTA"
"Shayne Gostisbehere","40.33796175"," 45.2245236818",184,"CAR"
"Anton Lundell","40.33170877"," 58.0558033599",191,"FLA"
"Dawson Mercer","40.22206808"," 55.3117205105",178,"NJD"
"Brady Skjei","40.01346619"," 48.8485540163",192,"NSH"
"Morgan Frost","39.99745623"," 61.2822079315",174,"CGY"
"Ryan Strome","39.95695815"," 52.6983029107",187,"ANA"
"Vladimir Tarasenko","39.94010608"," 53.4323951199",179,"DET"
"Yegor Sharangovich","39.79992572"," 61.8073128070",173,"CGY"
"Travis Sanheim","39.70560301"," 53.5049898336",184,"PHI"
"Colton Parayko","39.63717235"," 52.2939477902",174,"STL"
"Jamie Benn","39.57893452"," 62.2531871626",167,"DAL"
"Jalen Chatfield","39.46062398"," 45.5941799186",176,"CAR"
"Noah Hanifin","39.44601628"," 48.9053200088",186,"VGK"
"Mackie Samoskevich","39.31192157"," 56.4477140773",180,"FLA"
"Viktor Arvidsson","39.21245267"," 55.3356918008",172,"EDM"
"Noah Cates","38.72026681"," 61.4729966026",151,"PHI"
"Phillip Danault","38.51523519"," 53.6397767870",165,"LAK"
"Alex Killorn","38.48958287"," 57.1260903454",174,"ANA"
"Lawson Crouse","38.25410778"," 54.9606060906",174,"UTA"
"Jake Neighbours","38.16969019"," 57.5124963571",150,"STL"
"Andre Burakovsky","38.10671603"," 52.8240912275",148,"SEA"
"J.T. Miller","38.03969851"," 54.0506292038",185,"NYR"
"Brandon Saad","37.99651313"," 56.7263986581",154,"VGK"
"Justin Faulk","37.97062657"," 46.5268062745",162,"STL"
"Aaron Ekblad","37.88871041"," 48.1012525491",179,"FLA"
"Jaccob Slavin","37.79772891"," 39.3921459645",191,"CAR"
"Joel Eriksson Ek","37.68836666"," 57.7942442105",163,"MIN"
"Mason Marchment","37.53597849"," 54.2530721031",173,"DAL"
"Tim Stutzle","37.49930946"," 58.6477251680",159,"OTT"
"Brett Howden","37.49204445"," 51.3215990272",159,"VGK"
"Marco Kasper","37.17443194"," 59.8747412022",166,"DET"
"Miro Heiskanen","36.88936171"," 44.5244138392",164,"DAL"
"Jordan Staal","36.87726981"," 53.1729108717",147,"CAR"
"Jiri Kulich","36.69910785"," 49.2381177623",156,"BUF"
"Shea Theodore","36.68776528"," 44.8995167228",156,"VGK"
"Olen Zellweger","36.64983372"," 44.5915488292",163,"ANA"
"Evgenii Dadonov","36.62473912"," 56.7770137712",161,"DAL"
"Jeff Skinner","36.50316690"," 57.5873638477",171,"EDM"
"Mikhail Sergachev","36.47846012"," 42.5076433257",190,"UTA"
"Vince Dunn","36.33030974"," 43.4921398025",163,"SEA"
"Kaapo Kakko","36.10035731"," 52.5398952736",154,"SEA"
"Ilya Mikheyev","35.88818051"," 53.3768042035",154,"CHI"
"Mark Stone","35.75232289"," 56.6378807967",168,"VGK"
"Pius Suter","35.66225104"," 53.1085714960",155,"VAN"
"Connor Zary","35.63467058"," 57.5703472775",159,"CGY"
"Michael Eyssimont","35.59795552"," 54.2501194585",168,"SEA"
"Scott Laughton","35.57481715"," 55.7929247207",168,"TOR"
"Oliver Ekman-Larsson","35.56368689"," 47.6379425982",176,"TOR"
"Darren Raddysh","35.54151764"," 37.9181018034",167,"TBL"
"Nick Paul","35.42411362"," 50.6215697925",156,"TBL"
"Nicholas Robertson","35.33918346"," 48.2472596439",149,"TOR"
"Ivan Barbashev","35.03132460"," 53.5779854181",155,"VGK"
"Evgeni Malkin","34.97907972"," 52.5350859873",151,"PIT"
"Jackson LaCombe","34.88516355"," 48.4983998757",155,"ANA"
"Claude Giroux","34.84717184"," 48.8436371746",174,"OTT"
"Morgan Rielly","34.65830187"," 42.7343355875",177,"TOR"
"Luke Kunin","34.56357653"," 49.8416548438",157,"CBJ"
"Eric Robinson","34.48663950"," 49.2882225077",143,"CAR"
"Charlie Coyle","34.44023224"," 50.5574368025",154,"COL"
"Cole Sillinger","34.42354850"," 45.8198822691",156,"CBJ"
"Valeri Nichushkin","34.37915253"," 43.4331310583",126,"COL"
"Jean-Gabriel Pageau","34.21336347"," 47.2455542518",152,"NYI"
"Brandon Tanev","34.12574098"," 47.9180659135",142,"WPG"
"Ridly Greig","34.09109459"," 53.8501570522",154,"OTT"
"Seth Jones","33.97683571"," 44.0154719942",152,"FLA"
"Marcus Johansson","33.91093189"," 44.4259855407",143,"MIN"
"Joel Armia","33.66568052"," 43.9601258019",143,"MTL"
"Leo Carlsson","33.61462163"," 45.0432758672",129,"ANA"
"Josh Norris","33.54228401"," 49.7132098488",141,"BUF"
"Josh Anderson","33.36924884"," 50.4813815819",145,"MTL"
"Reilly Smith","33.30793059"," 46.6369255513",146,"VGK"
"Brett Kulak","33.29794382"," 36.5994687118",147,"EDM"
"Sean Monahan","33.23831809"," 48.0214774164",149,"CBJ"
"Maxim Tsyplakov","33.08091685"," 52.4188252073",156,"NYI"
"Christian Dvorak","32.92986757"," 49.7928414232",147,"MTL"
"Gustav Nyquist","32.90664659"," 47.3825951300",145,"MIN"
"Dmitry Orlov","32.90052239"," 40.0606009511",171,"CAR"
"Adam Lowry","32.73226554"," 52.1314560437",145,"WPG"
"Brandt Clarke","32.70026683"," 39.4768653302",154,"LAK"
"Zack Bolduc","32.61639154"," 44.5287790097",153,"STL"
"Charlie McAvoy","32.60505053"," 43.2383528372",140,"BOS"
"Kent Johnson","32.47514718"," 41.7216208718",151,"CBJ"
"Nikita Zadorov","32.33441829"," 35.1043529087",149,"BOS"
"Teuvo Teravainen","32.32728973"," 41.8860091831",144,"CHI"
"Jesperi Kotkaniemi","32.26573796"," 45.0314016691",145,"CAR"
"Martin Pospisil","32.14074292"," 44.0243902084",143,"CGY"
"Jacob Trouba","31.92289581"," 41.1863697868",150,"ANA"
"Casey Cizikas","31.90856311"," 43.8504127732",130,"NYI"
"Michael Rasmussen","31.62115437"," 48.1926530469",126,"DET"
"Paul Cotter","31.53618594"," 45.5899287114",136,"NJD"
"Bobby Brink","31.44960577"," 47.6406740547",140,"PHI"
"K'Andre Miller","31.42166723"," 38.3132544059",146,"NYR"
"Parker Kelly","31.34678723"," 42.3291121506",134,"COL"
"Tanner Pearson","31.26658298"," 41.8869254566",136,"VGK"
"William Karlsson","31.23221351"," 38.7602070622",147,"VGK"
"Jack Drury","31.17448716"," 38.8304512897",137,"COL"
"Vladislav Gavrikov","31.05066996"," 35.1682582686",141,"LAK"
"Rasmus Ristolainen","31.04230519"," 37.6004363633",141,"PHI"
"Brock Faber","30.97056992"," 38.7806591637",145,"MIN"
"Ondrej Palat","30.91511622"," 41.7029646420",134,"NJD"
"Tyler Myers","30.85193569"," 37.8374651650",140,"VAN"
"Will Smith","30.79494909"," 38.1944196915",146,"SJS"
"Vasily Podkolzin","30.63462116"," 46.4375681746",138,"EDM"
"Teddy Blueger","30.59387740"," 43.2435758767",132,"VAN"
"Adam Pelech","30.52022761"," 36.9779425108",155,"NYI"
"Nick Bjugstad","30.47403800"," 38.8776110956",139,"UTA"
"Adam Larsson","30.45432840"," 41.2915918113",155,"SEA"
"Brandon Duhaime","30.41135587"," 41.1180258933",125,"WSH"
"Alex Vlasic","30.40923420"," 34.8910780551",141,"CHI"
"Lane Hutson","30.32918630"," 37.6251589663",137,"MTL"
"Adam Henrique","30.02230243"," 42.1871830766",124,"EDM"
"Sam Malinski","29.94770315"," 35.3212395255",135,"COL"
"Luke Evangelista","29.91039357"," 44.1869963098",135,"NSH"
"Ryan McLeod","29.66976641"," 44.3228537299",119,"BUF"
"Shane Wright","29.52226227"," 44.3782336191",131,"SEA"
"Casey Mittelstadt","29.43118871"," 44.0794293833",128,"BOS"
"Connor Brown","29.38121046"," 42.8036038729",135,"EDM"
"Niko Mikkola","29.34465683"," 38.2039371955",150,"FLA"
"Frederick Gaudreau","29.25979556"," 39.1567912216",136,"MIN"
"Kevin Hayes","29.24690568"," 48.1968876836",139,"PIT"
"Tommy Novak","29.21155366"," 43.7005243301",123,"PIT"
"Jack McBain","29.19143470"," 44.2916560288",128,"UTA"
"Philip Broberg","29.06171295"," 35.5402338360",143,"STL"
"Ben Chiarot","29.01788491"," 31.4410073452",146,"DET"
"Trevor Zegras","29.00925428"," 38.9835019259",127,"ANA"
"Matias Maccelli","28.98860314"," 40.1750436075",142,"UTA"
"Alex Iafallo","28.90694231"," 41.4919316572",128,"WPG"
"Anze Kopitar","28.89814833"," 46.6350444639",129,"LAK"
"Nick Foligno","28.84912155"," 46.5691480431",117,"CHI"
"Vladislav Namestnikov","28.81740696"," 47.8701883592",118,"WPG"
"Matt Roy","28.68235922"," 31.9304104915",132,"WSH"
"Joel Edmundson","28.65314651"," 27.3151308752",142,"LAK"
"Andrew Mangiapane","28.57155305"," 42.8803385152",123,"WSH"
"Jesper Boqvist","28.52123882"," 40.4447665955",116,"FLA"
"Eetu Luostarinen","28.51503680"," 42.8336217293",119,"FLA"
"Mathieu Olivier","28.50740998"," 42.9584088079",133,"CBJ"
"Jordan Spence","28.29147760"," 30.6836515808",135,"LAK"
"Damon Severson","28.27357622"," 39.1326695810",129,"CBJ"
"J.T. Compher","28.26830029"," 42.3201742018",123,"DET"
"Kirby Dach","28.18028389"," 39.4837816732",124,"MTL"
"Justin Brazeau","28.17404143"," 46.3096528081",123,"MIN"
"Filip Hronek","28.08459981"," 35.2608019670",128,"VAN"
"Lars Eller","28.00700377"," 41.6919607063",126,"WSH"
"Simon Holmstrom","27.97249327"," 41.7725951634",143,"NYI"
"Taylor Raddysh","27.93151557"," 42.2884645967",120,"WSH"
"Jonatan Berggren","27.87569826"," 42.2362616956",127,"DET"
"Trent Frederic","27.86387631"," 40.9761904676",115,"BOS"
"Luke Hughes","27.74764589"," 34.1917621852",145,"NJD"
"Jared Spurgeon","27.66510467"," 33.9762531524",133,"MIN"
"Timothy Liljegren","27.66364521"," 28.7235816238",131,"SJS"
"Adam Gaudette","27.65345896"," 40.7272007101",122,"OTT"
"Sean Kuraly","27.53968851"," 35.4242783822",119,"CBJ"
"Mason Appleton","27.51947011"," 38.9010793262",129,"WPG"
"Nicolas Roy","27.45438386"," 42.8121601761",124,"VGK"
"Zachary Aston-Reese","27.33151755"," 39.6138616137",118,"CBJ"
"Bowen Byram","27.30620856"," 38.1435974626",126,"BUF"
"Cody Glass","27.25834992"," 38.2935810965",125,"NJD"
"Joel Kiviranta","27.21572614"," 36.5909802705",109,"COL"
"Corey Perry","27.14090192"," 45.5810067594",124,"EDM"
"Alex Turcotte","27.11176198"," 40.1179992870",111,"LAK"
"Samuel Girard","27.07255966"," 33.6591939995",125,"COL"
"Rasmus Sandin","26.88932741"," 29.9966764758",127,"WSH"
"Zachary L'Heureux","26.86366216"," 38.5189716504",108,"NSH"
"Garnet Hathaway","26.82122015"," 41.5319617087",112,"PHI"
"Patrik Laine","26.74350402"," 31.7480608828",129,"MTL"
"Victor Olofsson","26.70834809"," 37.5089219225",119,"VGK"
"Braden Schneider","26.69840541"," 33.8291632398",130,"NYR"
"Keegan Kolesar","26.65747084"," 41.1639094164",117,"VGK"
"Ivan Provorov","26.60225642"," 33.6058325937",128,"CBJ"
"Andrew Copp","26.43468019"," 40.3122368691",99,"DET"
"Michael Carcone","26.40474399"," 35.9387833340",120,"UTA"
"Logan O'Connor","26.40336414"," 37.3617048603",118,"COL"
"Brett Pesce","26.27898147"," 30.2579211156",114,"NJD"
"Yakov Trenin","26.27488299"," 38.3872381626",117,"MIN"
"Mikey Anderson","26.19810493"," 24.2984051284",130,"LAK"
"Jake Evans","26.14872939"," 40.3269165598",111,"MTL"
"Mason Lohrei","26.04830597"," 30.0034300189",131,"BOS"
"Travis Hamonic","25.96017488"," 33.9651435585",118,"OTT"
"Marcus Pettersson","25.88129281"," 29.2728784330",115,"VAN"
"Erik Haula","25.87574095"," 40.7746557272",135,"NJD"
"Ryan Pulock","25.87325984"," 33.0483085989",126,"NYI"
"Philip Tomasino","25.81248627"," 41.1550450294",127,"PIT"
"Will Borgen","25.72223525"," 34.8563223789",108,"NYR"
"Trevor van Riemsdyk","25.71252864"," 30.2607742620",112,"WSH"
"Alexander Kerfoot","25.70726219"," 38.4650823021",116,"UTA"
"Esa Lindell","25.69616568"," 29.9050292483",128,"DAL"
"Alexandre Carrier","25.57914911"," 32.3346297790",103,"MTL"
"Colton Sissons","25.55636015"," 39.8230743908",121,"NSH"
"Jason Dickinson","25.51382318"," 31.8628761822",93,"CHI"
"Kevin Stenlund","25.51167566"," 33.4424396355",123,"UTA"
"Max Domi","25.47847661"," 39.0278978898",120,"TOR"
"Zemgus Girgensons","25.43921210"," 36.6481464980",110,"TBL"
"Morgan Barron","25.24414223"," 39.3316631831",121,"WPG"
"Craig Smith","25.23348864"," 34.4492522816",115,"DET"
"Uvis Balinskis","25.20707746"," 29.6222498069",108,"FLA"
"Matt Grzelcyk","25.16703689"," 28.4416784310",135,"PIT"
"Brett Leason","25.10147613"," 33.6896300153",120,"ANA"
"James van Riemsdyk","25.05570321"," 38.2342118805",103,"CBJ"
"Alexander Romanov","25.03837388"," 31.1762627289",120,"NYI"
"Nick Seeler","24.98024024"," 27.7473839632",132,"PHI"
"Andrew Peeke","24.74419932"," 28.1103902874",110,"BOS"
"Max Pacioretty","24.73129492"," 34.0647381258",102,"TOR"
"Sam Carrick","24.70572356"," 31.2985552485",106,"NYR"
"Mathew Barzal","24.63092675"," 35.7110474884",116,"NYI"
"Marcus Foligno","24.57974144"," 35.0855918691",111,"MIN"
"Michael Amadio","24.51176549"," 38.9984040754",101,"OTT"
"Johnathan Kovacevic","24.49514221"," 25.6587068564",117,"NJD"
"Danton Heinen","24.47167830"," 36.3617433126",107,"PIT"
"Brayden McNabb","24.33199633"," 30.2272196592",122,"VGK"
"Nils Hoglander","24.32489528"," 35.6925197230",106,"VAN"
"Peyton Krebs","24.24579237"," 34.7573305786",116,"BUF"
"Sam Steel","24.09733746"," 30.7723316490",112,"DAL"
"Cole Koepke","24.04682708"," 33.3046422301",108,"BOS"
"Alexander Wennberg","23.93819486"," 36.0825007116",103,"SJS"
"Olli Maatta","23.90652824"," 29.2690765253",104,"UTA"
"A.J. Greer","23.88766837"," 35.2436550768",105,"FLA"
"Josh Doan","23.73642946"," 32.2997431845",108,"UTA"
"Pavel Mintyukov","23.71912534"," 28.9496676913",101,"ANA"
"Jamie Oleksiak","23.67135879"," 26.7088654039",109,"SEA"
"Zach Bogosian","23.57967967"," 30.2386269988",111,"MIN"
"Jake Middleton","23.53133421"," 28.8611814711",120,"MIN"
"Erik Gustafsson","23.51441645"," 29.1089412970",120,"DET"
"Dylan Samberg","23.49432957"," 27.2078180519",113,"WPG"
"Tanner Jeannot","23.43177484"," 29.4781852731",98,"LAK"
"Nic Dowd","23.36475449"," 32.9344754431",111,"WSH"
"Ian Cole","23.35687346"," 28.2568523570",106,"UTA"
"Connor Murphy","23.34661676"," 29.4523431375",97,"CHI"
"Radko Gudas","23.33915132"," 29.1229938155",129,"ANA"
"Zach Whitecloud","23.29346600"," 26.7218453274",104,"VGK"
"Arber Xhekaj","23.25971749"," 28.5980685640",107,"MTL"
"Nick Blankenburg","23.13335538"," 31.1996324762",102,"NSH"
