"X","Date","Period","Fighter1","Fighter1WinPct","Fighter1Team","Fighter2","Fighter2WinPct","Fighter2Team","playerId.x","position.x","team.x","Fighter1BirthDate","Fighter1Weight","Fighter1Height","nationality.x","shootsCatches.x","primaryNumber.x","primaryPosition.x","playerId.y","position.y","team.y","Fighter2BirthDate","Fighter2Weight","Fighter2Height","nationality.y","shootsCatches.y","primaryNumber.y","primaryPosition.y","Fighter1HeightInches","Fighter2HeightInches","HeightDiff","WeightDiff","Fighter1Age","Fighter2Age","AgeDiff","Win","Fighter1Handedness","Fighter2Handedness","HandednessDiff","Fighter1Position","Fighter2Position"
NA,2023-10-21,2,"Adam Pelech",0,"NYI","Alex Tuch",0.97,"BUF",8476917,"D","NYI","1994-08-16",218,"6' 3""","CAN","L",3,"D",8477949,"R","BUF","1996-05-10",222,"6' 4""","USA","R",89,"R",75,76,-1,-4,29.1396673501937,27.4089769879244,1.73069036226931,0,"L","R",1,"D","F"
NA,2023-10-21,2,"Luke Kunin",0.18,"SJS","Kiefer Sherwood",0.06,"NSH",8479316,"C","SJS","1997-12-04",195,"6' 0""","USA","R",19,"C",8480748,"L","VAN","1995-03-31",194,"6' 0""","USA","R",64,"R",72,72,0,1,25.8422191843244,28.5189109136478,-2.67669172932331,1,"R","R",0,"F","F"
NA,2023-10-21,3,"Nick Seeler",0.98,"PHI","Jani Hakanp",0.02,"DAL",8476372,"D","PHI","1993-06-03",198,"6' 2""","USA","L",36,"D",8475825,"D","TOR","1992-03-31",218,"6' 5""","FIN","R",28,"D",74,77,-3,-20,30.3399407609934,31.5127591706539,-1.17281840966051,1,"L","R",1,"D","D"
NA,2023-10-21,3,"Vincent Trocheck",0.98,"NYR","Jared McCann",0.02,"SEA",8476389,"C","NYR","1993-07-11",186,"5' 10""","USA","R",21,"C",8477955,"L","SEA","1996-05-31",185,"6' 1""","CAN","L",90,"C",70,73,-3,1,30.2360446570973,27.3515607199818,2.88448393711552,1,"R","L",1,"F","F"
NA,2023-10-21,2,"Trent Frederic",0.9,"BOS","Andreas Englund",0.02,"LAK",8479365,"C","BOS","1998-02-11",203,"6' 2""","USA","L",82,"C",8477971,"D","LAK","1996-01-21",189,"6' 3""","SWE","L",39,"D",74,75,-1,14,25.6535657325131,27.7096149464571,-2.05604921394395,1,"L","L",0,"F","D"
NA,2023-10-24,3,"Alex Tuch",0.11,"BUF","Brady Tkachuk",0.85,"OTT",8477949,"R","BUF","1996-05-10",222,"6' 4""","USA","R",89,"R",8480801,"L","OTT","1999-09-16",196,"6' 3""","USA","L",7,"L",76,75,1,26,27.4171793119162,24.0706311232627,3.34654818865345,0,"R","L",1,"F","F"
NA,2023-10-24,3,"Jack Drury",0.03,"CAR","Nick Paul",0.72,"TBL",8480835,"C","COL","2000-02-03",174,"5' 11""","USA","L",72,"C",8477426,"L","TBL","1995-03-20",230,"6' 4""","CAN","L",13,"L",71,76,-5,-56,23.6877420824789,28.5571884256095,-4.86944634313055,0,"L","L",0,"F","F"
NA,2023-10-24,1,"Evander Kane",0.72,"EDM","Brandon Duhaime",0.08,"MIN",8475169,"L","EDM","1991-08-02",210,"6' 2""","CAN","L",9,"L",8479520,"R","WSH","1997-05-22",200,"6' 2""","USA","L",21,"R",74,74,0,10,32.1827295511506,26.3864205969469,5.79630895420369,1,"L","L",0,"F","F"
NA,2023-10-26,1,"Dmitri Voronkov",0.25,"CBJ","Arber Xhekaj",0.58,"MTL",8481716,"L","CBJ","2000-09-10",240,"6' 5""","RUS","L",10,"L",8482964,"D","MTL","2001-01-30",238,"6' 4""","CAN","L",72,"D",77,76,1,2,23.0918204602415,22.7034632034632,0.38835725677831,0,"L","L",0,"F","D"
NA,2023-10-26,1,"Patrick Maroon",0.14,"MIN","Nicolas Deslauriers",0.54,"PHI",8474034,"L","CHI","1988-04-23",225,"6' 3""","USA","L",7,"L",8475235,"L","PHI","1991-02-22",221,"6' 1""","CAN","L",20,"L",75,73,2,4,35.4581909318751,32.6282752335384,2.82991569833676,0,"L","L",0,"F","F"
